penulis,judul,tahun,deskripsi,tautan,kata_kunci
rizky dwi antoko,"analisis kualitas layanan ftp dan video conference  pada jaringan manet (mobile ad hoc network) 
menggunakan simulator opnet modeler 14.5",2022,"Perkembangan teknologi saat ini semakin memudahkan kita dalam melakukan
pekerjaan secara efektif dan efisien, salah satunya dengan memanfaatkan jaringan
nirkabel dalam hal bertukar data menggunakan FTP (File Transfer Protocol) dan
berkomunikasi jarak jauh menggunakan video conference. Mobile Ad Hoc Network
(MANET) merupakan salah satu teknologi dalam jaringan nirkabel yang terdiri dari
sekumpulan node yang bersifat dinamis. Jaringan MANET tidak membutuhkan
perangkat semacam base station dalam mengirimkan data. Data akan dikirimkan
melalui node-node yang dapat saling berkomunikasi, karena setiap node pada
jaringan MANET dapat berperan sebagai router dalam menentukan arah tujuan
data yang dikirim, sehingga tidak memungkiri jumlah node dalam jaringan
MANET akan mempengaruhi kualitas data yang dikirim ke tujuan. Oleh karena itu
pada penelitian ini akan dianalisis bagaimana kualitas layanan FTP dan video
conference jika diukur berdasarkan parameter delay, jitter dan packet loss
menggunakan simulator OPNET Modeler. Skenario simulasi menggunakan jumlah
node 5, 15 dan 30 dengan beban trafik low, medium, high dan menggunakan
protokol routing DSR. Hasil yang didapatkan pada penelitian ini yaitu pada layanan
FTP hasil dengan kategori buruk didapat pada parameter packet loss di beban trafik
high dengan packet loss tertinggi 56,6% di jumlah node 15. Sedangkan pada
layanan video conference hasil bagus hanya dihasilkan pada parameter delay dan
jitter dengan jumlah node 5, pada parameter packet loss di semua skenario
mendapatkan hasil buruk dengan nilai tertinggi packet loss hampir 100%.",https://drive.google.com/file/d/1dJ7AN64lqfAdC-0chQHIMXoYMNtxg8xz/view?usp=sharing,"qos, ftp, video conference, manet, opnet."
zainal arifin,"penerapan metode simple additive weighting dalam sistem pendukung keputusan untuk penilaian pegawai terbaik
di rs bhayangkara bondowoso",2022,"Peran pegawai dalam sebuah instansi pemerintahan maupun swasta sangatlah
penting. Pegawai merupakan aktor utama dalam menjalankan proses bisnis yang tersedia
pada perusahan dan memiliki peranan penting dalam kesuksesan sebuah perusahaan.
Maka dari itu perusahaan harus memiliki SDM yang berkualitas dalam menjalankan
proses bisnisnya. Untuk menunjang aktifitas yang ada diperusahan maka perlu dilakukan
penilaian terhadap kinerja seluruh pegawainya, penilaian kinerja pegawai dapat
digunakan sebagai evaluasi perusahaan/instansi dalam meningkatkan produktifitasnya.
Rumah sakit bhayangkara merupakan rumah sakit yang menjadi salah satu pusat layanan
kesehatan di kota bondowoso, dalam penentuan penilaian kinerja pegawai saat ini masih
menggunakan penilaian secara konvensional, penilaian hanya didasarkan pada penilaian
pelaksanaan pekerjaan dalam jangka waktu satu tahun. penilain ini masih bersifat
subyektif dimana pimpinan melakukan penilaian dengan tidak menggunakan standar
penilaian namun berdasarkan perasaan pimpinan terhadap yang dinilai. Pada penelitian
tugas akhir ini akan dirancang sebuah sistem pengambilan keputusan dalam proses
pemilihan pegawai terbaik di RS Bayangkara Bondowoso. Sistem yang dirancang
berbasis sistem pengambilan keputusan dengan SAW. Hasil Pengujian aplikasi Absensi
dan WEB SAW(web pengelola penilaian pegawai terbaik menggunakan metode saw)
dengan menggunakan blackbox testing yang fokus terhadap proses masuk dan keluarnya
program adalah valid.",https://drive.google.com/file/d/1S5LvtuyDXql3O4twrPl-GWnmMAg9vnGr/view?usp=sharing,"sistem pendukung keputusan, simple additive weighting (saw),
pegawai terbaik."
widya damayanti,"klasifikasi pendapat masyarakat terhadap penggunaan vaksin dalam mengantisipasi covid-19 
menggunakan teknik sentimen analisis berbasis naive bayes",2022,"Pandemi Covid-19 masih belum usai. Vaksinasi yang dilakukan sampai saat ini
juga masih mendapat pro dan kontra pada kalangan masyarakat. Penelitian ini berisi
tentang analisis opini masyarakat terhadap vaksinasi menggunakan metode berbasis
Naive Bayes yang dihimpun dari timeline Twitter sejak tanggal 23 Februari sampai
9 Maret 2021. Jumlah opini yang berhasil dihimpun dan dijadikan data dalam
penelitian ini adalah 1000 data tweet yang dibagi menjadi 200 tweet data uji validasi
dan 800 tweet data latih. Penelitian ini juga menggunakan Chi-Square sebagai
metode seleksi fitur. Algoritma yang digunakan dalam penelitian ini adalah Naive
Bayes dan Multinomial Naive Bayes. Dari hasil pengukuran pada pengujian yang
dilakukan, metode Naive Bayes memperoleh nilai akurasi sebesar 66%, presisi
sebesar 79% dan recall sebesar 62%. Sedangkan metode Multinomial Naive Bayes
memperoleh nilai akurasi sebesar 71%, presisi sebesar 81% dan recall sebesar 68%.
Berdasarkan hasil yang diperoleh, algoritma Multinomial Naive Bayes memiliki
performa yang lebih baik daripada Naive Bayes.",https://drive.google.com/file/d/1h1P8b40Wug4I5mPltPr8mSYDbfJxDWKt/view?usp=sharing,"covid-19, naive bayes, multinomial naive bayes, chi-square."
radiyanto dekaprasetya,clustering untuk menentukan strategi promosi universitas muhammadiyah jember dengan algoritma k-medoids,2022,"Universitas Muhammadiyah Jember sebagai salah satu perguruan tinggi di Jawa
Timur khususnya di Kabupaten Jember dalam hal menjaring calon mahasiswa
membutuhkan strategi promosi yang baik untuk mendapatkan calon mahasiswa
sesuai pagu. Penelitian ini dilakukan untuk mendapatkan informasi profil
mahasiswa dengan cara mengolah data mahasiswa aktif tahun 2020/2021.
Pengolahan data dengan cara clustering menggunakan algoritma K-Medoids
terhadap atribut-atribut data mahasiswa seperti Prodi, Kota, Propinsi, Pekerjaan
Orang Tua dan Jenis Sekolah yang kemudian hasil clustering divalidasi dengan
metode Davies Bouldin Index (DBI) untuk mendapatkan cluster yang optimal. Hasil
dari penelitian didapatkan nilai DBI yang rendah pada cluster k = 3 sehingga
ditentukan sebagai cluster yang optimal. Diperoleh informasi profil mahasiswa dari
hasil clustering yang terbagi menjadi tiga cluster sehingga dapat ditentukan strategi
promosi berdasarkan ketiga cluster tersebut.",https://drive.google.com/file/d/1LWMxoPqVzNuqYgLwQGHmuflgrvHqwbrT/view?usp=sharing,"clustering; davies bouldin index, k-medoids; strategi promosi."
virda desiyanti,"analisa perbandingan metode double moving average dan metode double exponential
smoothing (holt) dalam peramalan harga gabah kering panen di tingkat petani ",2022,"Gabah merupakan komoditas strategis dalam menentukan volume beras.
Pada umumnya petani menjual gabah setelah panen dalam keadaan kering kepada
penggiling padi dan tidak menutup kemungkinan harga jual gabah lebih murah
dari harga yang seharusnya sehingga petani dapat mengalami kerugian. Penelitian
ini bertujuan untuk membandingkan metode peramalan Double Moving Average
dan Double Exponential Smoothing (Holt) dengan menggunakan data harga
gabah kering panen di tingkat petani. Evaluasi Kinerja metode peramalan
dilakukan dengan membandingkan nilai MAPE, MAD dan RMSE pada metode
peramalan. Hasil pengujian menunjukkan bahwa kinerja metode Double
Exponential Smoothing (Holt) dengan konstanta α (0,9) dan β (0,6) lebih bagus
dalam meramalkan data harga gabah kering panen dibandingkan metode Double
Moving Average dengan ordo 2. Berdasarkan hasil penghitungan metode Double
Exponential Smoothing (Holt) pada konstanta α (0,9) dan β (0,6) dihasilkan
MAPE = 3,31, MAD = 155,55 dan RMSE = 206,64.",https://drive.google.com/file/d/1irz8FhNoIfbLC71XvZVTA8z2vQVtUQOa/view?usp=sharing,"peramalan, double moving average, double exponential smoothing (holt)."
rezkian dezadhan,diagnosa penyakit pada tanaman tembakau di kabupaten jember dengan menggunakan metode fuzzy k-nearest neighbor,2022,"Kabupaten Jember terkenal sebagai penghasil salah satu tembakau terbaik di dunia.
Kabupaten jember telah lama terkenal dan melegenda sebagai “Kota Tembakau” sebagai
salah satu daerah produsen dan penghasil tembakau terbesar dengan produk yang
berkualitas. Kendala yang dialami oleh petani tembakau adalah terjadi kesalahan dalam
membedakan Penyebab penyakit, misal Serangan dari Virus diberantas dengan cara yang
Sama Untuk Memberantas Serangan dari Jamur , begitupun sebaliknya, Penyakit yang
disebabkan Oleh Jamur diberantas dengan Cara yang Sama Untuk Memberantas
Serangan dari Virus. Maka Bakteri, Jamur, dan Virus tidak terkendali dan tetap
menyerang tanaman Tembakau, sehingga merugikan banyak biaya yang harus
dikeluarkan dan tenaga. Dengan sistem yang menggunakan metode Fuzzy K-Nearest
Neighbor (FK-NN) dapat digunakan untuk memperoleh sebuah hasil diagnosa jenis
penyakit yang diderita berdasarkan nilai jarak tetangga terdekat (k) untuk setiap gejala
yang diderita sehingga mempermudah petani tembakau dalam mendiagnosa jenis
penyakit yang dialami pada tanaman tembakau. Dari perhitungan akurasi pada sistem
dengan 150 data kasus dan 315 kali percobaan mengahasilkan prosentase 100% yang
terdapat pada 10 fold skenario 1 dengan K=5 yang dapat disimpulkan sebagai hasil
diagnosa Fuzzy K-Nearest Neighbor.",https://drive.google.com/file/d/1YpRqDHJfSJMK6by0nYHhHIFHVgOyUYQy/view?usp=sharing,"diagnosa, penyakit tembakau, fuzzy k-nearest neighbor, akurasi sistem."
"ikhlash nur fajri
","rekomendasi pemilihan jurusan perguruan tinggi menggunakan metode analytical hierarchy process – complex
proportional assessment",2022,"Setiap tahun para siswa dan siswi lulusan SMA/SMU memiliki keinginan yang
besar untuk melanjutkan pendidikan ke jenjang perguruan tinggi, namun banyak
diantara siswa dan siswi yang kurang matang dalam memilih jurusan atau program
studi.. Salah satu solusi dengan penerapan teknologi informasi dalam pengambilan
keputusan adalah penggunaan Sistem Pendukung Keputusan (SPK). Terdapat
beberapa metode yang dapat diterapkan dalam SPK. Dalam penelitian ini, metode
yang digunakan sebagai pendamping AHP adalah metode Complex Proportional
Assessment (COPRAS). COPRAS diperkenalkan oleh Zavadskas et all pada tahun
1994 (Popivic, et all., 2012). COPRAS berguna untuk mengevaluasi nilai
maksimum serta meminimumkan kriteria. Tujuan dari penelitian ini untuk
mengetahui berapa tingkat kecocokan nilai dari pihak sekolah dan sistem yang si
bangun. Hasil metode AHP-COPRAS terurut akan menjadi rekomendasi bagi
penentuan dalam rekomendasi pemilihan jurusan perguruan tinggi. Untuk metode
AHP sendiri digunakan untuk mencari nilai bobot masing-masing kriteria, dan
untuk metode COPRAS digunakan untuk mencari nilai kriteria bila semakin tinggi
nilainya maka dampak pada perhitungan penyusunan alternatif akan semakin
diperhitungkan. Dari hasil yang didapatkan menggunakan rumus MAE dengan nilai
dari pihak sekolah yakni guru BK dan nilai yang dihasilkan oleh sistem bernilai
55,97%. Dimana dari 318 siswa hasil data klasifikasinya yang sesuai berjumlah 178
siswa dan yang tidak sesuai berjumlah 140.",https://drive.google.com/file/d/1LQE67nLXL_kV6LDD-mqKoJ4kC4VbRVz0/view?usp=sharing,"pemilihan jurusan perguruan tinggi, ahp-copras."
achmad david mico febriyansyah,"peramalan penjualan batu gamping pada ud eko joyo menggunakan single exponential
smoothing dan double exponential smoothing",2022,"Indonesia merupakan Negara yang kaya akan Sumber Daya Mineral
(SDM) salah satunya adalah batu kapur. Batu kapur merupakan batuan sedimen
yang berwarna putih di dalamnya mengandung kalsium seperti kalsium karbonat,
kalsium oksida, dan kalsium hidroksida. UD Eko Joyo merupakan salah satu
produsen batu gamping yang berada di desa Grenden. UD Eko Joyo belum
mempunyai sistem aplikasi untuk memprediksi penjualan batu gamping dimana
pendaataan dilakukan secara manual dengan menulis data barang pada buku
penjualan. Tujuan dari penelitian ini yaitu untuk memudahkan kebutuhan
permintaan batu gamping agar mengurangi selisih rata – rata jumlah stok
permintaan. Penelitian ini menghasilkan sebuah Sistem Peramalan Penjualan Batu
Gamping Pada UD Eko Joyo menggunakan Single Exponential Smoothing Dan
Double Exponential Smoothing dalam output sebuah aplikasi berbasis website
dengan konstanta untuk Single Exponential Smoothing pengujian sebanyak 9 kali
dengan nilai alpha 0,1 sampai dengan alpha 0,9. Pengujian untuk Double
Exponential Smoothing sebanyak 81 kali dengan α = 0,1 sampai dengan α = 0,9
dimana pada setiap α dihitung pula pemulusan kedua dengan nilai β yang dicari
sebesar β = 0,1 sampai dengan β = 0,9. Dari pembahasan diatas penulis
mengangkat tema yaitu: “ Peramalan Batu Gamping Pada UD EKO JOYO
Menggunakan Single Exponential Smoothing Dan Double Exponential
Smoothing”.",https://drive.google.com/file/d/1MPsrkqSgeCkoGUK-nrU3htCvQqjEYPQO/view?usp=sharing,"forecasting, single exponential smoothimg, double exponential
smoothing."
moh. firdaus,prediksi nilai penutupan forex menggunakanimetodeifuzzy timeiseriesicheng,2022,"Foreign exchange atau forex adalah sebuah transaksi pertukaran mata uang asing.
Dalam bahasa Indonesia istilah ini disebut dengan valuta asing atau valas. Adapun
terjadinya pertukaran mata uang asing ini tidak lain adalah karena adanya
kebutuhan atas mata uang tersebut. Trading forex ialah salah satu bisnis yang
menggiurkan karena bisins ini mempunyai keuntungan yang tinggi. Keuntungan
yang diperoleh lewat selisih antara harga jual serta harga beli. Apabila mata uang
yang dibeli naik harganya, trader akan mendapatkan keuntungan. Tetapi bisnis ini
memiliki resiko yang sama besarnya. Resiko yang didapatkan juga tergantung
keahlian dalam menyadari nilai yang akan datang, kapan harus membeli, kapan
harus menjual, dan berapa lama menunggu untuk membeli atau menjualnya
kembali. Penelitian ini bertujuan untuk memprediksi nilai penutupan forex
menggunakan metode Fuzzy Time Series Cheng. Data yang digunakan adalah data
nilai penutupan forex pada mata uang Euro ke USD pada tahun 2020 -2021. Data
di analisa dengan menggunakan R Studio. Dari penelitian ini diperoleh nilai MAPE
0.7902853%. Hasilnya menunjukkan bahwa Fuzzy Time Series model Cheng
sangat baik untuk digunakan dalam prediksi nilai penutupan forex dengan mata
uang Euro ke USD jika dilihat dari MAPE yang kurang dari 10 % .",https://drive.google.com/file/d/1NGmTkXGBAcdpTwG6rmu7O8q9rrtU7Niy/view?usp=sharing,"forex, fuzzy time series, cheng."
fery firmansyah,rancang bangun alat ukur suhu tubuh otomatis berbasis arduino,2022,"Pada masa awal menyebarnya virus Covid-19 di Indonesia membawa dampak negatif
khususnya pada 2 sektor yakni sektor Kesehatan, dan Ekonomi. Dengan dibuatnya Alat Sistem
Deteksi Suhu Otomatis memakai konsep Internet Of Things (IoT) ini supaya Operator tidak
melakukan kontak fisik dengan Pengunjung sebagai upaya Antisipasi Dini Covid-19. Meski
saat ini dalam zona “New Normal”. Dalam penelitian ini, alat dipasang pada tembok guna
untuk pengunjung menempatkan Telapak Tangan didepan alat yang nantinya di proses dan
mengeluarkan output nilai suhu pengunjung ditampilkan pada LCD dan notifikasi pada aplikasi
Blynk. Demi layak pakai atau tidaknya alat tersebut, dilakukannya pengujian 20 kali percobaan
nilai output menggunakan objek Telapak Tangan dan Kaleng Hangat, Alat dan ThermoGun
dengan 3 jarak yang berbeda. Dengan demikian didapatkannya rata-rata selisih Telapak
Tangan 5cm = (2,3°C), 10cm (3,8°C), 15cm (4,7°C). Sedangkan nilai dari Kaleng Hangat pada
jarak 5cm = (0,2°C), 10cm = (0,3°C), dan 15cm = (0,3°C).",https://drive.google.com/file/d/1zuBwyIfCNHDTStJ-jQ2EfGxLNTXpxRKB/view?usp=sharing,"internet of things, sistem deteksi suhu otomatis, blynk."
kukuh gunadi,sistem penilaian karyawan kontrak menjadi karyawan tetap menggunakan metode electre,2022,"Sumber Daya Manusia yang memadai dan kompeten dibutuhkan dalam
menjalankan aktivitas perusahaan agar berjalan dengan baik dan sesuai rencana
perusahaan. Sumber daya manusia pada setiap perusahaan disebut dengan karyawan.
Karyawan dalam suatu perusahaan ada yang merupakan karyawan tetap dan
karyawan kontrak begitu pula kondisi yang ada di PT. SIB. Umumnya karyawan
kontrakn yang telah bekerja dalam beberapa waktu akan diangkat menjadi karyawan
tetap dengan beberapa pertimbangan yang telah ditentukan oleh perusahaan itu
sendiri. Pada penelitian kali ini melakukan penghitungan pengangkatan karyawan
kontrak menjadi karyawan tetap di PT. SIB menggunakan metode electre.
Penghitungan dilakukan kepada karyawan yang ada di jabatan Sales Force, Delivery
Driver, Accounting, dan Sales Coordinator..",https://drive.google.com/file/d/1WDH5EE3jMGirbAvHgLMLjfMBrodITs4P/view?usp=sharing,electre; karyawan kontrak; karyawan tetap.
ramadhan hermansyah,diagnosa penyakit demam tifoid dengan model algoritma c4.5,2022,"Demam tifoid adalah suatu penyakit yang disebabkan oleh bakteri yang
bernama salmonella typhii. kasus penyakit ini diperhitungkan menyentuh angka 16
juta kasus pertahunnya. Orang meninggal lebih dari 600.000 jiwa setiap tahunnya
karena penyakit tifus. Perkembangan teknologi informasi selalu mengalami
perkembangan yang pesat setiap tahunnya. Dampak dari perkembangan teknologi
informasi yaitu munculnya banyak fasilitas-fasilitas yang memudahkan, sehingga
secara langsung berdampak kepada kegiatan organisasi. Algoritma C4.5 adalah
suatu algoritma yang menghasilkan pohon keputusan yang mudah dijelaskan,
memiliki tingkat akurasi yang bisa diterima, dan efesiensi yang cukup dalam
menangani suatu attribute bertipe diskret dan numerik. Karena kelebihanya itu
algoritma ini lebih sering digunakan. Dari hasil perhitungan metode C4.5
didapatkan hasil akurasi sebesar 90%, dan dari kuesioner yang telah yang telah
dibagikan, didapatkan kesimpulan jika aplikasi dapat diterima masyarakat dalam
mendiagnosa penyakit demam tifoid dengan pengenalan lebih awal.",https://drive.google.com/file/d/1xKIHK6T7SxTWehYsnUpiefxjVIjHHQD5/view?usp=sharing,"decision tree , c4.5, cross validation, klasifikasi."
verdi alvian dwi hidayatullah,klasifikasi siswa berprestasi menggunakan metode k-nearest neighbor (knn) pada sma negeri 2 situbondo ,2022,"Lingkungan teman sekelas sangat berpengaruh terhadap perkembangan
prestasi akademik siswa, jika hubungannya negatif maka akan berdampak negatif
bagi siswa, dan juga sebaliknya. SMA Negeri 2 Situbondo merupakan salah satu
sekolah di Situbondo yang menerapkan pengacakan pada pembentukan kelasnya,
dimana siswa yang tergolong pintar disebar ke beberapa kelas seangkatan untuk
membantu siswa lain yang memiliki masalah dalam belajar, penyebaran tersebut
harus merata agar efektif. Tujuan penelitian ini adalah untuk mengukur tingkat
akurasi, presisi dan recall dalam klasifikasi prestasi siswa kelas X jurusan IPA SMA
Negeri 2 Situbondo. Data yang digunakan adalah siswa kelas X jurusan IPA tahun
2020 di SMA Negeri 2 Situbondo sebanyak 182. Dikarenakan belum adanya
metode khusus yang digunakan untuk mengklasifikasikan siswa berdasarkan
prestasinya dan banyak kemiripan data, maka digunakanlah teknik data mining
yaitu metode klasifikasi. Metode klasifikasi yang digunakan pada penelitian kali ini
adalah K-Nearest Neighbor (KNN). Hasil dari penelitian ini didapatkan akurasi sebesar 94%, presisi 91% dan
recall 91%. Akurasi tesebut didapatkan pada data training fold K = 5 skenario 5
dengan KNN 7.",https://drive.google.com/file/d/1gWM_OyJY6adnV8W4alT62kl6U174s08Q/view?usp=sharing,"klasifikasi prestasi, prestasi siswa, k-nearest neighbor (knn)."
ahmad hoirozi,"penerapan metode weight product (wp) untuk penilaian pegawai terbaik di dinas kesehatan bidang kesmas
kabupaten jember",2022,"Dinas Kesehatan Jember (Dinkes) merupakan salah satu Satuan Kerja
Pemerintah Daerah (SKPD) dilingkungan pemerintah Kota Jember yang
bertanggung jawab dalam bidang pembangunan kesehatan, fungsi Dinkes sendiri
sebagai lembaga dinas teknis yang mempunyai tugas pokok melaksanakan sebagian
urusan pemerintahan daerah di bidang kesehatan berdasarkan asas otonomi dan
membantu melaksanakan tugas teknis operasional di bidang kesehatan yang
meliputi pengembangan dan pembinaan pelayanan kesehatan, pencegahan
pemberantasan penyakit menular dan penyehatan lingkungan, kesehatan keluarga,
pelayanan farmasi dan pengawasan makanan dan minuman serta pembinaan
program berdasarkan kebijakan Pemerintah Kabupaten Jember. Pada penelitian
tugas akhir ini akan dirancang sebuah sistem pengambilan keputusan dalam proses
pemilihan pegawai terbaik di Dinas kesehatan Bidang Kesmas Kabupaten Jember.
Sistem yang dirancang berbasis sistem pengambilan keputusan dengan Weighted
Product (WP). Hasil pengujian telah menghasilkan nilai Weighted Product (WP)
pegawai terbaik atas nama “Diana Irayanti, Amd. Keb” dengan nilai Vi
0.078345891.",https://drive.google.com/file/d/1GBnjs51Vs0QuzMQq6QMfYTzfEwzvZMRk/view?usp=sharing,"sistem pendukung keputusan, weighted product (wp), pegawai
terbaik."
al amin nurisiyantoro ismail,kelayakan pengajuan pinjaman atau kredit pada koperasi ganesha menggunakan algoritma c.45,2022,"Penelitian ini bertujuan untuk penentuan kelayakan pemberian kredit kepada nasabah,
sehingga pihak koperasi dapat membantu menyelesaikan penentuan kelayakan pemberian kredit.
Permasalahan yang muncul dalam koperasi adalah terjadinya proses yang sifatnya objektif dalam
penentuan kelayakan kredit, yang menyebabkan tidak akuratnya data, seperti pengajuan kredit
yang bermasalah dalam pembayaran angsuran kredit. Dalam menentukan kelayakan kredit atau
pinjaman pada penelitian ini, peneliti menggunakan algoritma C4.5, dengan menggunakan
algoritma ini dapat menentukan model pohon keputusan untuk meningkatkan akurasi dalam
menganalisa kelayakan kredit yang diajukan calon debitur. Penelitian ini menghasilkan sebuah
sistem berbasis website yang dapat digunakan untuk menentukan sebuah kelayakan kredit pada
koperasi dengan menerapkan algoritma c4.5 sehingga dapat membantu pihak koperasi dalam
menyelesaikan penentuan kelayakan pemberian kredit dengan tepat dan akurat. Data yang
digunakan dalam penelitian ini berupa data – data nasabah sebelumnya yang telah diberikan oleh
pihak koperasi. Hasil dari penelitian ini menunjukkan bahwa sistem dapat memprediksi
kelayakan kredit dengan tingkat akurasi sebesar 60%.",https://drive.google.com/file/d/1Vv3lZ6YAkV1KbBVQ4uhbWzDBtgW7AIpm/view?usp=sharing,"algoritma c4.5, kelayakan kredit, koperasi."
fairuzatul jannah,analisa klasifikasi data kualitas kadar karat emas menggunakan metode modified k-nearest neighbor (mk-nn),2022,"Emas merupakan logam mulia yang nilainya terus meningkat dan banyak
digunakan sebagai alat investasi karna dianggap sebagai aset yang aman, stabil
dan tidak punya efek inflasi. Perkembangan teknologi saat ini dapat dimanfaatkan
untuk mengkasifikasikan kadar karat emas dengan waktu yang efisien dengan
menggunakan sistem klasifikasi berbasis web. Metode Modified K-Nearest
Neighbor merupakan metode data mining pengembangan dari metode K-Nearest
Neighbor, dalam melakukan klasifikasi MK-NN menambahkan 2 proses baru dari
K-NN yaitu perhitungan nilai validitas antar data training dan perhitungan weight
voting atau pembobotan dari masing-masing tetangga terdekat. Penelitian ini
bertujuan untuk mencari tingkat akurasi dan presisi metode MK-NN. Klasifikasi
data kadar karat emas dengan mengimplementasikan metode MK-NN ini
menggunakan 120 data kadar karat emas, yang mana pada penelitian ini
mendapatkan akurasi tertinggi sebesar 95%, sedangkan untuk presisinya yang
diklasifikasikan menjadi kelas 18, 19, 20, 21, 22, 23 dan 24 mendapatkan tingkat
presisi tertinggi pada salah satu kelas yaitu 100%.",https://drive.google.com/file/d/1dwOZXpDN-oBLr8DkD0pNixmrAfSRo0iW/view?usp=sharing,"emas, kadar karat, klasifikasi, metode modified k-nearest
neighbor."
muhammad hamim jazuli,pengelompokan wilayah penyebaran dbd di kabupaten jember dengan menggunakan bisecting k-means,2022,"Demam Berdarah Dengue (DBD) merupakan salah satu penyakit yang menjadi
ancaman utama di Indonesia. Salah satu provinsi di Indonesia dengan kasus DBD
yang cukup signifikan adalah provinsi Jawa Timur. Di Jawa Timur, Kabupaten
Jember merupakan Kabupaten dengan kasus DBD yang cenderung berfluktuasi.
Berkaitan dengan data kasus DBD, data jumlah penderita DBD yang tersedia di
Dinas Kesehatan Kabupaten Jember masih belum melalui proses pengolahan dan
evaluasi lanjut sehingga belum dapat memberikan gambaran strategis terkait
pengelompokan wilayah penyebaran DBD. Maka dari itu, diperlukan analisis yang
dapat membantu mengelompokkan wilayah penyebaran DBD yang dikaitkan
dengan faktor luas wilayah dan kepadatan penduduk guna menekan kasus DBD,
khususnya di Kabupaten Jember. Penelitian ini bertujuan untuk mencari cluster
yang memiliki nilai optimum dan untuk mengetahui kelompok wilayah yang
terdapat dalam masing-masing cluster. Untuk membantu mempermudah dalam
pengolahan dataset digunakan Microsoft Excel, sehingga cluster optimum dan
anggota dalam cluster dapat ditemukan. Penelitian ini menggunakan menggunakan
metode Bisecting K-Means dan Davies-Bouldin Index untuk menentukan cluster
optimum. Dari hasil penelitian ini diperoleh cluster optimum pada 2 cluster dengan
nilai Davies-Bouldin Index sebesar 0,504. Lebih lanjut, anggota di dalam masing-
masing cluster yaitu pada cluster 1 terdapat 28 kecamatan, sedangkan pada cluster
2 terdapat 3 kecamatan.",https://drive.google.com/file/d/1CYjpBUW0TpKuqhZPbCfncOfdTB44ETM_/view?usp=sharing,"demam berdarah dengue, clustering, bisecting k-means, davies-
bouldin index."
Nova Kurniawati,"optimasi penggunaan bahan dalam pembangunan saluran iriasi pada dinas pengairan kabupaten
bondowoso menggunakan metode algoritma genetika",2022,"Dalam proses pembangunan sebuah saluran irigasi memerlukan
perencanaan dan perhitungan yang tepat. Hal ini berkaitan dengan berapa banyak
bahan – bahan yang akan digunakan sesuai dengan panjang saluran irigasi yang
akan dibangun. Dalam pembangunan sebuah saluran irigasi bahan – bahan yang
diperlukan antara lain pasir, batu klai, semen dan batu muka. Sistem perhitungan
diperlukan untuk menentukan nilai optimasi penggunaan bahan sehingga
diperoleh data dalam penyusunan Rencana Anggaran Belanja (RAB).
Dengan menghitung nilai fitness diharapkan dapat menentukan nilai
optimasi sebuah saluran irigasi. Mengingat setiap tahunnya, proyek yang akan
dilaksanakan semakin meningkat dan bisa memberikan pelayanan yang baik
kepada rekanan. Optimasi penggunaan bahan dalam pembangunan saluran irigasi diperlukan
untuk mencari nilai minimum penggunaan bahan sehingga meningkatkan kinerja
Dinas Pengairan Kabupaten Bondowoso dalam memberikan pelayanan kepada
rekanan atau pihak ketiga. Metode yang digunakan dalam menentukan nilai
optimasi pengunaan bahan dalam pembangunan saluran irigasi adalah metode
Algoritma Genetika.",https://drive.google.com/file/d/11X9DRABtd-0JTFWTE61MGTXAajZGWJum/view?usp=sharing,"irigasi, fitness, algoritma genetika."
intan dian puji lestari,"optimasi metode kmeans dengan algoritma artificial bee colony untuk pengelompokkan penyebaran covid-19 pada
provinsi di indonesia",2022,"Metode ABCKM merupakan gabungan clustering K-means dengan optimasi
Artificial Bee Colony. Dengan memadukan K-means dan metode Artificial Bee
Colony maka diharapkan dapat meningkatkan kemampuan KM dalam menentukan
titik pusat data dan kemudian menemukan cluster pada area global yang optimal,
dalam pencarian titik pusak nilai cluster terendah mengunakan metode Davies
Bouldin Index dengan uji coba 2 sampai 10 cluster. Dataset yang digunakan yaitu
dataset persebaran kasus covid-19 yang terjadi pada provinsi di Indonesia pada bulan
April tahun 2020 sampai bulan Agustus 2020. Hasil yang didapat pada optimasi
Artificial Bee Colony KM dalam menentukan cluster terendah terjadi pada 10 cluster
dengan nilai davies bouldin index sebasar 2.0218.",https://drive.google.com/file/d/1vAHjfP6LDFBQNxKC3qWUJlzZeRvWX1hH/view?usp=sharing,"covid19/coronavirus, clustering, kmeans, artificial bee colony,
davies bouldin index(dbi)."
